zip_code,city,state,state_abb,country
96916,MERIZO,Guam,GU,US
96915,YONA,Guam,GU,US
96912,DEDEDO,Guam,GU,US
96932,HAGATNA,Guam,GU,US
96923,MANGILAO,Guam,GU,US
96931,TAMUNING,Guam,GU,US
96910,BARRIGADA,Guam,GU,US
96929,YIGO,Guam,GU,US
96913,BARRIGADA,Guam,GU,US
96917,SANTA RITA,Guam,GU,US
96928,BARRIGADA,Guam,GU,US
96921,BARRIGADA,Guam,GU,US
50049,CHARITON,Iowa,IA,US
50074,ELLSTON,Iowa,IA,US
50277,YALE,Iowa,IA,US
50261,VAN METER,Iowa,IA,US
50262,WELDON,Iowa,IA,US
50452,LATIMER,Iowa,IA,US
50519,BODE,Iowa,IA,US
50560,LU VERNE,Iowa,IA,US
50574,POCAHONTAS,Iowa,IA,US
50591,THOR,Iowa,IA,US
50602,ALLISON,Iowa,IA,US
51001,AKRON,Iowa,IA,US
51024,HINTON,Iowa,IA,US
51656,YORKTOWN,Iowa,IA,US
52053,HOLY CROSS,Iowa,IA,US
52214,CENTRAL CITY,Iowa,IA,US
52345,URBANA,Iowa,IA,US
52752,WAPELLO,Iowa,IA,US
52767,PLEASANT VALLEY,Iowa,IA,US
51554,MINEOLA,Iowa,IA,US
50211,NORWALK,Iowa,IA,US
50854,MOUNT AYR,Iowa,IA,US
51101,SIOUX CITY,Iowa,IA,US
52734,CLINTON,Iowa,IA,US
50117,EXIRA,Iowa,IA,US
50256,HARVEY,Iowa,IA,US
50122,HUBBARD,Iowa,IA,US
50134,HUXLEY,Iowa,IA,US
50201,NEVADA,Iowa,IA,US
50249,STRATFORD,Iowa,IA,US
50250,STUART,Iowa,IA,US
50430,CORWITH,Iowa,IA,US
50466,RICEVILLE,Iowa,IA,US
50530,DAYTON,Iowa,IA,US
50563,MANSON,Iowa,IA,US
51006,BATTLE CREEK,Iowa,IA,US
51027,IRETON,Iowa,IA,US
52065,NEW VIENNA,Iowa,IA,US
52347,VICTOR,Iowa,IA,US
52621,CRAWFORDSVILLE,Iowa,IA,US
52644,MOUNT UNION,Iowa,IA,US
52657,WEST POINT,Iowa,IA,US
52759,BLUE GRASS,Iowa,IA,US
50569,FORT DODGE,Iowa,IA,US
51301,SPENCER,Iowa,IA,US
61252,FULTON,Iowa,IL,US
50025,AUDUBON,Iowa,IA,US
50104,KESWICK,Iowa,IA,US
50115,GUTHRIE CENTER,Iowa,IA,US
50157,MALCOM,Iowa,IA,US
50161,MAXWELL,Iowa,IA,US
50210,NEW VIRGINIA,Iowa,IA,US
50581,ROLFE,Iowa,IA,US
50628,ELMA,Iowa,IA,US
50630,FREDERICKSBURG,Iowa,IA,US
50651,LA PORTE CITY,Iowa,IA,US
51046,PAULLINA,Iowa,IA,US
51346,HARTLEY,Iowa,IA,US
51450,LAKE VIEW,Iowa,IA,US
51571,SILVER CITY,Iowa,IA,US
51653,TABOR,Iowa,IA,US
52134,LIME SPRINGS,Iowa,IA,US
52203,AMANA,Iowa,IA,US
52222,DEEP RIVER,Iowa,IA,US
52247,KALONA,Iowa,IA,US
52254,LOST NATION,Iowa,IA,US
52404,CEDAR RAPIDS,Iowa,IA,US
52537,BLOOMFIELD,Iowa,IA,US
52635,LOCKRIDGE,Iowa,IA,US
52647,OLDS,Iowa,IA,US
50303,DES MOINES,Iowa,IA,US
50305,DES MOINES,Iowa,IA,US
51104,SIOUX CITY,Iowa,IA,US
52245,IOWA CITY,Iowa,IA,US
50035,BONDURANT,Iowa,IA,US
50156,MADRID,Iowa,IA,US
50246,STANHOPE,Iowa,IA,US
50434,HANLONTOWN,Iowa,IA,US
50477,SWALEDALE,Iowa,IA,US
50475,SHEFFIELD,Iowa,IA,US
50517,BANCROFT,Iowa,IA,US
50561,ROCKWELL CITY,Iowa,IA,US
50611,DUMONT,Iowa,IA,US
50669,REINBECK,Iowa,IA,US
51238,HOSPERS,Iowa,IA,US
51341,GILLETT GROVE,Iowa,IA,US
51637,COLLEGE SPRINGS,Iowa,IA,US
52159,MONONA,Iowa,IA,US
52571,MORAVIA,Iowa,IA,US
52594,UNIONVILLE,Iowa,IA,US
52649,SALEM,Iowa,IA,US
50011,AMES,Iowa,IA,US
50208,NEWTON,Iowa,IA,US
50461,OSAGE,Iowa,IA,US
50638,GRUNDY CENTER,Iowa,IA,US
51593,HARLAN,Iowa,IA,US
51645,SHENANDOAH,Iowa,IA,US
52339,TAMA,Iowa,IA,US
52632,KEOKUK,Iowa,IA,US
50119,HARVEY,Iowa,IA,US
50170,MONROE,Iowa,IA,US
50233,REDFIELD,Iowa,IA,US
50258,UNION,Iowa,IA,US
